0000000 20ff 6f47 6220 6975 646c 4920 3a44 2220
0000010 7377 715a 4478 3778 734f 6d4f 795a 6b52
0000020 305f 7453 422f 6e33 3841 5534 4171 7452
0000030 3269 355a 7273 3333 2f6e 4847 0977 4bb8
0000040 ffff f7ff ffd8 6de0 794b 3532 5578 515a
0000050 3873 6248 5a65 2f48 3648 6532 7857 3539
0000060 3230 4c6c 6c30 756c 6f38 7254 0a22 ff20
0000070 cccc cccc cccc cccc cccc cccc cccc cccc
0000080 cccc cccc cccc cccc c3cc cccc cccc cccc
0000090 cccc cccc cccc cccc cccc cccc cccc cccc
00000a0 cccc cccc cccc cccc 55cc 8948 48e5 ec83
00000b0 0f10 d0b6 b848 2a4a ff9e d8f7 348b 4820
00000c0 59b8 9e2a f7ff 8bd8 203c 3948 7fd6 6614
00000d0 4890 f685 2076 8b48 4807 5f8b 4808 c483
00000e0 5d10 48c3 e2c1 4804 048b 4817 5c8b 0817
00000f0 8348 10c4 c35d c031 8948 b8c1 a9a0 fff8
0000100 d8f7 d0ff cc90 cccc cccc cccc cccc cccc
0000110 cccc cccc 0fcc 40b6 8317 1fe0 ccc3 cccc
0000120 cccc cccc cccc cccc cccc cccc cccc cccc
0000130 cccc cccc 90cc b60f 1748 e183 801f 11f9
0000140 0575 8b48 4040 31c3 c3c0 cccc cccc cccc
0000150 cccc cccc 90cc b60f 1748 e183 801f 12f9
0000160 1477 f980 7411 800a 12f9 1975 8b48 3040
0000170 48c3 408b c330 f980 7415 8017 16f9 0d74
0000180 f980 7417 3103 c3c0 8b48 3040 48c3 408b
0000190 c330 8b48 3840 ccc3 cccc cccc cccc cccc
00001a0 cccc cccc cccc cccc cccc cccc cccc cccc
00001b0 cccc cccc 48cc ffb8 ffff f7ff 89d0 c3c0
00001c0 cccc cccc cccc cccc cccc cccc cccc cccc
00001d0 cccc cccc cccc cccc cccc cccc 0f90 50b6
00001e0 f614 01c2 5474 b60f 1750 e283 481f c283
00001f0 48ef fa83 7708 483d 62b8 c04e f7ff 8dd8
0000200 ff08 d124 8d48 4850 35eb 8d48 4050 2feb
0000210 8d48 3850 29eb 8d48 5050 23eb 8d48 7050
0000220 1deb 8d48 3850 17eb 8d48 3850 11eb 8d48
0000230 5050 0beb 8d48 3050 05eb d231 8548 74d2
0000240 0f1f 72b7 6606 f685 0675 f631 d231 06eb
0000250 7a8b 4808 fa01 8948 48d0 f389 8948 c3d9
